field,width
pcn,17
recordCode,2
assessment1_type,1
assessment1_authority,7
assessment1_amount,11
assessment2_type,1
assessment2_authority,7
assessment2_amount,11
assessment3_type,1
assessment3_authority,7
assessment3_amount,11
assessment4_type,1
assessment4_authority,7
assessment4_amount,11
assessment5_type,1
assessment5_authority,7
assessment5_amount,11
assessment6_type,1
assessment6_authority,7
assessment6_amount,11
assessment7_type,1
assessment7_authority,7
assessment7_amount,11
assessment8_type,1
assessment8_authority,7
assessment8_amount,11
assessment9_type,1
assessment9_authority,7
assessment9_amount,11
assessment10_type,1
assessment10_authority,7
assessment10_amount,11
assessment11_type,1
assessment11_authority,7
assessment11_amount,11
assessment12_type,1
assessment12_authority,7
assessment12_amount,11
assessment13_type,1
assessment13_authority,7
assessment13_amount,11
assessment14_type,1
assessment14_authority,7
assessment14_amount,11
assessment15_type,1
assessment15_authority,7
assessment15_amount,11
assessment16_type,1
assessment16_authority,7
assessment16_amount,11
assessment17_type,1
assessment17_authority,7
assessment17_amount,11
assessment18_type,1
assessment18_authority,7
assessment18_amount,11
assessment19_type,1
assessment19_authority,7
assessment19_amount,11
assessment20_type,1
assessment20_authority,7
assessment20_amount,11
assessment21_type,1
assessment21_authority,7
assessment21_amount,11
assessment22_type,1
assessment22_authority,7
assessment22_amount,11
assessment23_type,1
assessment23_authority,7
assessment23_amount,11
assessment24_type,1
assessment24_authority,7
assessment24_amount,11
assessment25_type,1
assessment25_authority,7
assessment25_amount,11
