field,width
pcn,17
recordCode,2
propertyUse,4
name,30
address1,70
address2,70
address3,70
zip,9
saleDate,8
md1_sellingPrice,10
md1_book,8
md1_page,8
md1_saleType,1
md1_instrument,6
md1_qualifiedSale,2
md2_saleDate,8
md2_sellingPrice,10
md2_book,8
md2_page,8
md2_saleType,1
md2_instrument,6
md2_qualifiedSale,2
md3_saleDate,8
md3_sellingPrice,10
md3_book,8
md3_page,8
md3_saleType,1
md3_instrument,6
md3_qualifiedSale,2
md4_saleDate,8
md4_sellingPrice,10
md4_book,8
md4_page,8
md4_saleType,1
md4_instrument,6
md4_qualifiedSale,2
ncoaFlag,1
assoc,1
cFlag,1
